               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,           0.0081957,           0.0034599,                   0,             0.99896,             0.96196,             0.98524,             0.84141,            0.013016,           0.0046284,                   0,             0.00418,             0.00418,             0.00418
                  99,           0.0079547,           0.0032812,                   0,             0.99806,             0.95904,             0.98451,             0.83592,            0.013198,           0.0047123,                   0,             0.00412,             0.00412,             0.00412
                 100,           0.0083233,           0.0034298,                   0,             0.99896,             0.95649,             0.98132,             0.83526,            0.013488,           0.0048699,                   0,             0.00406,             0.00406,             0.00406
                 101,           0.0080755,           0.0033646,                   0,             0.99792,             0.95744,             0.98303,             0.83697,             0.01367,             0.00472,                   0,               0.004,               0.004,               0.004
                 102,           0.0080843,           0.0032214,                   0,             0.99792,             0.95798,             0.98425,             0.83587,            0.013585,           0.0047629,                   0,             0.00394,             0.00394,             0.00394
                 103,           0.0080398,           0.0033592,                   0,             0.99896,             0.95872,             0.98239,             0.83425,            0.013515,           0.0048599,                   0,             0.00388,             0.00388,             0.00388
                 104,           0.0080376,           0.0034962,                   0,             0.99688,             0.95808,             0.98316,             0.83226,            0.013356,           0.0048631,                   0,             0.00382,             0.00382,             0.00382
                 105,           0.0080646,           0.0033579,                   0,             0.99687,             0.95598,             0.98271,             0.82815,            0.013535,            0.004908,                   0,             0.00376,             0.00376,             0.00376
                 106,           0.0078581,           0.0031705,                   0,             0.99798,             0.95105,             0.98201,             0.82015,            0.013707,            0.005049,                   0,              0.0037,              0.0037,              0.0037
                 107,           0.0080377,           0.0033461,                   0,             0.99895,             0.95015,             0.98135,             0.82088,            0.014017,           0.0051697,                   0,             0.00364,             0.00364,             0.00364
                 108,            0.008041,           0.0034391,                   0,             0.99895,             0.94875,             0.98168,             0.81953,            0.014026,           0.0051354,                   0,             0.00358,             0.00358,             0.00358
                 109,             0.00804,             0.00328,                   0,             0.99895,             0.95384,             0.98246,             0.81951,             0.01434,           0.0050707,                   0,             0.00352,             0.00352,             0.00352
                 110,           0.0078342,           0.0032546,                   0,             0.99895,             0.95426,             0.98295,             0.82609,             0.01405,           0.0050219,                   0,             0.00346,             0.00346,             0.00346
                 111,           0.0078528,           0.0033408,                   0,             0.99895,             0.95094,              0.9821,             0.82605,            0.014014,           0.0050052,                   0,              0.0034,              0.0034,              0.0034
                 112,           0.0077714,           0.0033451,                   0,             0.99791,             0.95204,              0.9822,             0.82229,            0.014017,           0.0050296,                   0,             0.00334,             0.00334,             0.00334
                 113,            0.007666,           0.0032823,                   0,             0.99791,             0.95373,             0.98329,              0.8212,            0.013954,           0.0049892,                   0,             0.00328,             0.00328,             0.00328
                 114,           0.0078168,           0.0033582,                   0,             0.99792,             0.95646,             0.98427,             0.82261,            0.013847,           0.0049434,                   0,             0.00322,             0.00322,             0.00322
                 115,            0.007707,           0.0031852,                   0,             0.99896,             0.95858,             0.98514,             0.82387,            0.013788,           0.0048669,                   0,             0.00316,             0.00316,             0.00316
                 116,            0.007862,           0.0034053,                   0,             0.99774,             0.96004,             0.98404,             0.82704,            0.013669,           0.0048058,                   0,              0.0031,              0.0031,              0.0031
                 117,           0.0078148,           0.0032632,                   0,             0.99688,              0.9576,             0.98451,             0.82705,            0.013647,           0.0047875,                   0,             0.00304,             0.00304,             0.00304
                 118,           0.0074406,           0.0030753,                   0,             0.99792,             0.95795,             0.98451,             0.82713,             0.01365,           0.0047887,                   0,             0.00298,             0.00298,             0.00298
                 119,           0.0076747,            0.003179,                   0,             0.99792,             0.95944,             0.98389,             0.82823,              0.0136,           0.0048147,                   0,             0.00292,             0.00292,             0.00292
                 120,           0.0075443,           0.0032016,                   0,             0.99689,             0.95954,             0.98381,             0.83023,            0.013518,           0.0047993,                   0,             0.00286,             0.00286,             0.00286
                 121,           0.0074158,           0.0031221,                   0,             0.99689,             0.96048,             0.98345,             0.82916,            0.013559,           0.0047749,                   0,              0.0028,              0.0028,              0.0028
                 122,           0.0076586,           0.0033146,                   0,             0.99742,             0.96104,             0.98483,             0.82799,            0.013688,           0.0047642,                   0,             0.00274,             0.00274,             0.00274
                 123,            0.007655,            0.003315,                   0,              0.9974,             0.96104,             0.98434,             0.82553,            0.013783,           0.0047658,                   0,             0.00268,             0.00268,             0.00268
                 124,            0.007586,           0.0031533,                   0,             0.99791,             0.96104,             0.98426,             0.82499,            0.013719,            0.004777,                   0,             0.00262,             0.00262,             0.00262
                 125,           0.0076716,           0.0033181,                   0,             0.99792,             0.96031,             0.98431,             0.82385,            0.013761,           0.0048257,                   0,             0.00256,             0.00256,             0.00256
                 126,            0.007437,           0.0032462,                   0,             0.99798,             0.96004,             0.98433,             0.82694,            0.013716,           0.0048432,                   0,              0.0025,              0.0025,              0.0025
                 127,            0.007622,           0.0033537,                   0,             0.99873,             0.96204,             0.98348,             0.82826,            0.013678,           0.0048109,                   0,             0.00244,             0.00244,             0.00244
                 128,           0.0073461,           0.0031332,                   0,             0.99792,              0.9601,             0.98293,             0.82797,             0.01373,            0.004834,                   0,             0.00238,             0.00238,             0.00238
                 129,           0.0072592,           0.0031309,                   0,             0.99792,             0.95959,             0.98227,             0.82503,            0.013829,           0.0048906,                   0,             0.00232,             0.00232,             0.00232
                 130,           0.0074278,           0.0032477,                   0,             0.99792,              0.9579,             0.98158,             0.82376,            0.013778,            0.004964,                   0,             0.00226,             0.00226,             0.00226
                 131,            0.007327,           0.0032834,                   0,             0.99687,               0.954,             0.98076,             0.82127,            0.013804,             0.00508,                   0,              0.0022,              0.0022,              0.0022
                 132,           0.0074003,           0.0031809,                   0,             0.99687,             0.95392,             0.98102,             0.82014,            0.013854,           0.0050987,                   0,             0.00214,             0.00214,             0.00214
                 133,           0.0073558,           0.0031669,                   0,             0.99583,             0.95513,             0.98111,             0.81964,             0.01384,           0.0050782,                   0,             0.00208,             0.00208,             0.00208
                 134,           0.0073857,           0.0031845,                   0,             0.99583,             0.95484,             0.98128,             0.81944,            0.013869,           0.0050829,                   0,             0.00202,             0.00202,             0.00202
                 135,           0.0072002,           0.0030716,                   0,              0.9948,             0.95596,             0.98109,             0.81776,            0.013934,           0.0050898,                   0,             0.00196,             0.00196,             0.00196
                 136,           0.0072538,           0.0031815,                   0,              0.9948,              0.9563,             0.98103,             0.81734,            0.013964,           0.0050858,                   0,              0.0019,              0.0019,              0.0019
                 137,           0.0072723,           0.0031363,                   0,             0.99552,             0.95604,              0.9823,             0.81771,            0.013982,           0.0050434,                   0,             0.00184,             0.00184,             0.00184
